,0,1,2,3,4,5,6,7,keys
0,4213015,0,6829833,0,273868,876052,0,0,"('06fe61bc-b82d-4973-a010-fb56fdd7c2af.png',)"
1,4123385,0,6486797,0,360238,1222348,0,0,"('078baa00-b569-4dfc-a73f-c7a47df446bd.png',)"
2,3512618,0,6089266,0,1964446,626438,0,0,"('0811ac69-9bb9-4c7e-a762-15e0ec381ef0.png',)"
3,7750045,0,3404571,0,568920,469232,0,0,"('0952e8de-2eec-4128-b848-9b9c94c13ef2.png',)"
4,6124775,0,6067993,0,0,0,0,0,"('09600e00-f066-4b06-80da-293c45ae4d3e.png',)"
5,230186,0,11962582,0,0,0,0,0,"('0a73b997-f052-4a64-aa4c-0c2d1dc28369.png',)"
6,1316597,0,7263604,0,3612567,0,0,0,"('0b591337-d8f2-4ff3-9aee-9fc778e7d2cc.png',)"
7,6907973,0,194350,0,4812444,278001,0,0,"('0b9f2160-ba11-40d9-92a8-17ad4f969a5a.png',)"
8,6856400,0,3629691,0,1190921,515756,0,0,"('0ff74afa-1df5-46bc-bbfb-489aaabcdf95.png',)"
9,5856649,0,4331341,0,2004778,0,0,0,"('132bc593-b44e-4287-8f62-a0a63e1f6c38.png',)"
10,3839041,0,5423499,0,2930228,0,0,0,"('18a32c65-b43f-443d-a3ad-afadc2442abd.png',)"
11,462070,0,10641478,0,665891,423329,0,0,"('1934d534-078b-4fd1-8bb7-b879d232ddcd.png',)"
12,316940,0,11806267,0,69561,0,0,0,"('1a8c3cbe-55b5-457f-9347-3f5b81b12650.png',)"
13,3179810,0,7967865,0,0,1045093,0,0,"('1ea836a6-60c1-42a1-9d8f-e10d86b1d0d9.png',)"
14,8743925,0,1432461,0,1699348,317034,0,0,"('2138a3c5-d010-46b1-a62b-c4e4d72b3a33.png',)"
15,301651,0,2619954,0,9612155,0,0,0,"('21bfccc6-8881-4586-892b-9d045d9c56ff.png',)"
16,1204317,0,2710122,0,8278329,0,0,0,"('22061b5d-2bff-41ae-81c8-b40a4f3d6d74.png',)"
17,4529470,0,5352555,0,1055803,1254940,0,0,"('24006ae6-e164-4606-8066-3d2dda9596a7.png',)"
18,397816,0,11794952,0,0,0,0,0,"('258a876c-501e-4e89-a399-4e5801788e31.png',)"
19,2878438,0,7218221,0,2096109,0,0,0,"('27251ab3-f80d-4869-b874-8997c83dcc2b.png',)"
