,img_name,labels
11696,ave-0511-0013.png,3
4026,B__befbecd9b24a344aed80e8415264865b.png,2
73,A__069adca2d40eee18ee9791c37df23c39.png,7
8620,Ta01659.png,0
877,A__5d32ff9238efe5899d060f101ba270ed.png,6
6305,C__c5aac459b2bb130cdd820844d69f935b.png,7
15470,vwg-0855-0006.png,3
4624,B__f8eb311317cce3b54c36741d21b52bc8.png,6
108,A__09d77405090c8f1a27052fa8f71194ef.png,7
9106,Ta02339_6_8_17.png,0
1084,A__74d6008b848a80144c58e590cc09bca4.png,6
7413,D__63086d3ac7dfe8670e76a0df95d79513.png,2
8158,Ta00468.png,0
7653,D__89c2aed5cd0ab5b61350ce602697689c.png,7
3003,B__4eb39cfae5fa319dd9a16bb9bc39c344.png,-1
9399,ave-0076-0003.png,3
7936,D__b75ca1ce90aabe0fae7a5f571ebfac84.png,7
14552,vwg-0684-0008.png,3
3771,B__a132b3d41496f95812da2918d466eb69.png,5
7298,D__4d998605209be3f53099fd0f6f5080a6.png,6
15565,vwg-0881-0001.png,3
7326,D__52542c0a00109fa27340b82eb146f362.png,7
3034,B__52189339c9ed04102353ea6fa07a209d.png,7
15192,vwg-0801-0009.png,3
14305,vwg-0640-0009.png,3
15638,vwg-0908-0003.png,3
9970,ave-0202-0013.png,3
5477,C__62f2e324bceec9e7624b8ccb4b2c7f26.png,6
15172,vwg-0799-0003.png,3
1049,A__708ad66f648448310a8fbebe5c0719f0.png,7
1687,A__b7b68da01354a9a800272a7e5c7199a1.png,4
9083,Ta02318.png,0
2466,B__108d5867bca8477fd2e0bd533f098201.png,2
15774,vwg-0969-0019.png,3
6654,C__ed56e334de75f4eb321c4eea79481c4f.png,7
12414,vwg-0036-0003.png,3
14660,vwg-0699-0002.png,3
13940,vwg-0586-0028.png,3
15341,vwg-0838-0006.png,3
15985,vwg-1223-0008.png,3
10754,ave-0302-0016.png,3
8401,Ta01203.png,0
6950,D__10b79ffe3f4f8c034f818d196943e086.png,7
4279,B__d9cebc919f747d0deb53126487a83a5a.png,1
3976,B__b9e8a64a60646bc66ab3b9f3fb5978e3.png,1
8046,Ta00117.png,0
1021,A__6d7866a9fe2d460c319b683c79053775.png,6
16514,vwg-1269-0006.png,3
11094,ave-0333-0006.png,3
14874,vwg-0762-0021.png,3
4840,C__1217c7335619673e413e34f5dc9ca1a1.png,2
14192,vwg-0610-0013.png,3
14842,vwg-0747-0004.png,3
4346,B__dfc85ef60fd333384b06270bc40d67e2.png,7
8493,Ta01414.png,0
16289,vwg-1247-0007.png,3
14983,vwg-0780-0003.png,3
5123,C__36db0e94b0491de9271bb54e4230ec11.png,-1
4483,B__ed5f53ef68621ff6edd457ce5bf58603.png,7
8655,Ta01744.png,0
15750,vwg-0967-0005.png,3
8306,Ta00923.png,0
8689,Ta01812.png,0
1347,A__9382dee07cc22c44c93a4d552e7e71d3.png,7
666,A__46c19801caccbfe3f5ce614a553f68fe.png,1
1478,A__a0d3ba74c7eb42a38964dc97fe77d074.png,7
10134,ave-0230-0013.png,3
7879,D__ac92244ee2be2a114adc96f1ddf375e5.png,7
3298,B__6d0b470b8a55e15601daf13c51354782.png,1
14928,vwg-0776-0025.png,3
2074,A__e38f5d230d801138721460dc26bad5ba.png,1
9132,Ta02368_6_8_17.png,0
12850,vwg-0147-0003.png,3
16563,vwg-1273-0009.png,3
1123,A__7973d2755e26f7cdfe018e81ed41a033.png,6
2387,B__07f497ec66bb93d9394dece510a8e8cf.png,6
11380,ave-0358-0054.png,3
3801,B__a50c56836be016d44aab2d586b09edee.png,1
4636,B__fa35a761a05fb41d80cf79acbeb8c918.png,1
10848,ave-0311-0010.png,3
